fold,train_end,test_start,test_end,n_test,retrained,experts,h1_dir_acc
0,2022-06-10,2022-07-13,2022-08-10,21,True,"(0.09138610895410702, 0.4727168546238112, 0.80625)",0.2857142857142857
1,2022-07-13,2022-08-11,2022-09-09,21,False,"(0.09138610895410702, 0.4727168546238112, 0.80625)",0.7142857142857143
2,2022-08-11,2022-09-12,2022-10-10,21,False,"(0.09138610895410702, 0.4727168546238112, 0.80625)",0.6190476190476191
3,2022-09-12,2022-10-11,2022-11-08,21,True,"(0.0693030629356609, 0.49655890990744356, 0.8)",0.3333333333333333
4,2022-10-11,2022-11-09,2022-12-08,21,False,"(0.0693030629356609, 0.49655890990744356, 0.8)",0.47619047619047616
5,2022-11-09,2022-12-09,2023-01-10,21,False,"(0.0693030629356609, 0.49655890990744356, 0.8)",0.42857142857142855
6,2022-12-09,2023-01-11,2023-02-09,21,True,"(0.12121662126711756, 0.49556243531338956, 0.8)",0.47619047619047616
7,2023-01-11,2023-02-10,2023-03-13,21,False,"(0.12121662126711756, 0.49556243531338956, 0.8)",0.6190476190476191
8,2023-02-10,2023-03-14,2023-04-12,21,False,"(0.12121662126711756, 0.49556243531338956, 0.8)",0.42857142857142855
9,2023-03-14,2023-04-13,2023-05-11,21,True,"(0.14805881103342788, 0.5048632671482008, 0.8)",0.5238095238095238
10,2023-04-13,2023-05-12,2023-06-12,21,False,"(0.14805881103342788, 0.5048632671482008, 0.8)",0.3333333333333333
11,2023-05-12,2023-06-13,2023-07-13,21,False,"(0.14805881103342788, 0.5048632671482008, 0.8)",0.5714285714285714
12,2023-06-13,2023-07-14,2023-08-11,21,True,"(0.15045550261241247, 0.5627301206809063, 0.9062500000000001)",0.42857142857142855
13,2023-07-14,2023-08-14,2023-09-12,21,False,"(0.15045550261241247, 0.5627301206809063, 0.9062500000000001)",0.38095238095238093
14,2023-08-14,2023-09-13,2023-10-11,21,False,"(0.15045550261241247, 0.5627301206809063, 0.9062500000000001)",0.38095238095238093
15,2023-09-13,2023-10-12,2023-11-09,21,True,"(0.1222715582530339, 0.32642565352113884, 0.8)",0.47619047619047616
16,2023-10-12,2023-11-10,2023-12-11,21,False,"(0.1222715582530339, 0.32642565352113884, 0.8)",0.47619047619047616
17,2023-11-10,2023-12-12,2024-01-11,21,False,"(0.1222715582530339, 0.32642565352113884, 0.8)",0.5714285714285714
18,2023-12-12,2024-01-12,2024-02-12,21,True,"(0.09777086771092841, 0.4915297585800845, 0.70625)",0.38095238095238093
19,2024-01-12,2024-02-13,2024-03-13,21,False,"(0.09777086771092841, 0.4915297585800845, 0.70625)",0.3333333333333333
20,2024-02-13,2024-03-14,2024-04-12,21,False,"(0.09777086771092841, 0.4915297585800845, 0.70625)",0.47619047619047616
21,2024-03-14,2024-04-15,2024-05-13,21,True,"(0.045412290583488994, 0.5502961005409737, 0.89375)",0.38095238095238093
22,2024-04-15,2024-05-14,2024-06-12,21,False,"(0.045412290583488994, 0.5502961005409737, 0.89375)",0.5714285714285714
23,2024-05-14,2024-06-13,2024-07-15,21,False,"(0.045412290583488994, 0.5502961005409737, 0.89375)",0.42857142857142855
24,2024-06-13,2024-07-16,2024-08-13,21,True,"(0.10591746297764355, 0.5602583968908079, 1.0)",0.5714285714285714
25,2024-07-16,2024-08-14,2024-09-12,21,False,"(0.10591746297764355, 0.5602583968908079, 1.0)",0.5238095238095238
26,2024-08-14,2024-09-13,2024-10-11,21,False,"(0.10591746297764355, 0.5602583968908079, 1.0)",0.47619047619047616
27,2024-09-13,2024-10-14,2024-11-11,21,True,"(0.07600264582309153, 0.5136876300944099, 0.8)",0.38095238095238093
28,2024-10-14,2024-11-12,2024-12-11,21,False,"(0.07600264582309153, 0.5136876300944099, 0.8)",0.42857142857142855
29,2024-11-12,2024-12-12,2025-01-14,21,False,"(0.07600264582309153, 0.5136876300944099, 0.8)",0.5238095238095238
30,2024-12-12,2025-01-15,2025-02-13,21,True,"(0.08065232839484633, 0.5656011654226275, 0.9437500000000001)",0.5714285714285714
31,2025-01-15,2025-02-14,2025-03-17,21,False,"(0.08065232839484633, 0.5656011654226275, 0.9437500000000001)",0.6190476190476191
32,2025-02-14,2025-03-18,2025-04-15,21,False,"(0.08065232839484633, 0.5656011654226275, 0.9437500000000001)",0.5238095238095238
33,2025-03-18,2025-04-16,2025-05-15,21,True,"(0.07123315445631298, 0.5063543060149021, 0.80625)",0.5238095238095238
34,2025-04-16,2025-05-16,2025-06-16,21,False,"(0.07123315445631298, 0.5063543060149021, 0.80625)",0.5714285714285714
35,2025-05-16,2025-06-17,2025-07-17,21,False,"(0.07123315445631298, 0.5063543060149021, 0.80625)",0.42857142857142855
36,2025-06-17,2025-07-18,2025-08-15,21,True,"(0.5799035100628362, 0.7727860648369809, 0.8)",0.5238095238095238
37,2025-07-18,2025-08-18,2025-09-16,21,False,"(0.5799035100628362, 0.7727860648369809, 0.8)",0.3333333333333333
38,2025-08-18,2025-09-17,2025-10-15,21,False,"(0.5799035100628362, 0.7727860648369809, 0.8)",0.38095238095238093
39,2025-09-17,2025-10-16,2025-11-13,21,True,"(0.5742763203388842, 0.7656625102471132, 0.8)",0.42857142857142855
40,2025-10-16,2025-11-14,2025-12-15,21,False,"(0.5742763203388842, 0.7656625102471132, 0.8)",0.42857142857142855
41,2025-11-14,2025-12-16,2026-01-15,21,False,"(0.5742763203388842, 0.7656625102471132, 0.8)",0.5714285714285714
42,2025-12-16,2026-01-16,2026-02-17,21,True,"(0.10940377791823078, 0.5045340971863139, 0.8)",0.3333333333333333
43,2026-01-16,2026-02-18,2026-03-18,21,False,"(0.10940377791823078, 0.5045340971863139, 0.8)",0.47619047619047616
44,2026-02-18,2026-03-19,2026-04-17,21,False,"(0.10940377791823078, 0.5045340971863139, 0.8)",0.5714285714285714
45,2026-03-19,2026-04-20,2026-05-18,21,True,"(0.134889499363792, 0.44804069607742203, 0.8)",0.2857142857142857
46,2026-04-20,2026-05-19,2026-06-17,21,False,"(0.134889499363792, 0.44804069607742203, 0.8)",0.38095238095238093
